"iso_639_1","name","english_name"
an,"",Aragonese
ak,"",Akan
cr,"",Cree
az,Azərbaycan,Azerbaijani
cs,Český,Czech
aa,"",Afar
br,"",Breton
af,Afrikaans,Afrikaans
bo,"",Tibetan
ce,"",Chechen
kw,"",Cornish
fo,"",Faroese
la,Latin,Latin
ng,"",Ndonga
sc,"",Sardinian
ti,"",Tigrinya
tn,"",Tswana
tr,Türkçe,Turkish
pa,ਪੰਜਾਬੀ,Punjabi
et,Eesti,Estonian
fr,Français,French
ha,Hausa,Hausa
is,Íslenska,Icelandic
li,"",Limburgish
ln,"",Lingala
ss,"",Swati
ab,"",Abkhazian
sh,"",Serbo-Croatian
eu,euskera,Basque
fy,"",Frisian
ja,日本語,Japanese
oj,"",Ojibwa
or,"",Oriya
pi,"",Pali
su,"",Sundanese
th,ภาษาไทย,Thai
ig,"",Igbo
id,Bahasa indonesia,Indonesian
kk,қазақ,Kazakh
ki,"",Kikuyu
ug,"",Uighur
ve,"",Venda
rw,Kinyarwanda,Kinyarwanda
mi,"",Maori
nv,"",Navajo
hi,हिन्दी,Hindi
pt,Português,Portuguese
sg,"",Sango
sk,Slovenčina,Slovak
sr,Srpski,Serbian
ty,"",Tahitian
xh,"",Xhosa
ar,العربية,Arabic
co,"",Corsican
bi,"",Bislama
eo,Esperanto,Esperanto
hz,"",Herero
fi,suomi,Finnish
iu,"",Inuktitut
lv,Latviešu,Latvian
it,Italiano,Italian
nl,Nederlands,Dutch
kn,?????,Kannada
sa,"",Sanskrit
sq,shqip,Albanian
tl,"",Tagalog
lb,"",Letzeburgesch
ts,"",Tsonga
ml,"",Malayalam
vo,"",Volapük
zu,isiZulu,Zulu
os,"",Ossetian; Ossetic
sm,"",Samoan
za,"",Zhuang
bn,বাংলা,Bengali
cu,"",Slavic
ga,Gaeilge,Irish
gv,"",Manx
hu,Magyar,Hungarian
jv,"",Javanese
kr,"",Kanuri
km,"",Khmer
ky,??????,Kirghiz
na,"",Nauru
nr,"",Ndebele
oc,"",Occitan
ro,Română,Romanian
ru,Pусский,Russian
hy,"",Armenian
ch,Finu` Chamorro,Chamorro
xx,No Language,No Language
ba,"",Bashkir
gl,Galego,Galician
io,"",Ido
lu,"",Luba-Katanga
mh,"",Marshall
mg,"",Malagasy
mo,"",Moldavian
mn,"",Mongolian
nd,"",Ndebele
no,Norsk,Norwegian
pl,Polski,Polish
sw,Kiswahili,Swahili
tg,"",Tajik
to,"",Tonga
wa,"",Walloon
yi,"",Yiddish
en,English,English
as,"",Assamese
gd,"",Gaelic
kl,"",Kalaallisut
my,"",Burmese
qu,"",Quechua
sn,"",Shona
uk,Український,Ukrainian
fa,فارسی,Persian
ka,ქართული,Georgian
gu,"",Gujarati
av,"",Avaric
ae,"",Avestan
gn,"",Guarani
mt,Malti,Maltese
ne,"",Nepali
sv,svenska,Swedish
tt,"",Tatar
wo,Wolof,Wolof
cn,广州话 / 廣州話,Cantonese
cv,"",Chuvash
da,Dansk,Danish
dz,"",Dzongkha
ny,"",Chichewa; Nyanja
rn,Kirundi,Rundi
st,"",Sotho
tk,"",Turkmen
uz,ozbek,Uzbek
vi,Tiếng Việt,Vietnamese
el,ελληνικά,Greek
ca,Català,Catalan
cy,Cymraeg,Welsh
de,Deutsch,German
ks,"",Kashmiri
ms,Bahasa melayu,Malay
nb,Bokmål,Norwegian Bokmål
rm,"",Raeto-Romance
si,සිංහල,Sinhalese
es,Español,Spanish
te,తెలుగు,Telugu
tw,"",Twi
ps,پښتو,Pushto
bg,български език,Bulgarian
mk,"",Macedonian
ik,"",Inupiaq
ko,한국어/조선말,Korean
lt,Lietuvių,Lithuanian
om,"",Oromo
se,"",Northern Sami
so,Somali,Somali
ta,தமிழ்,Tamil
ur,اردو,Urdu
am,"",Amharic
bs,Bosanski,Bosnian
dv,"",Divehi
ay,"",Aymara
bm,Bamanankan,Bambara
ii,"",Yi
ie,"",Interlingue
kv,"",Komi
ku,"",Kurdish
nn,"",Norwegian Nynorsk
zh,普通话,Mandarin
he,עִבְרִית,Hebrew
ee,Èʋegbe,Ewe
fj,"",Fijian
ff,Fulfulde,Fulah
ht,"",Haitian; Haitian Creole
hr,Hrvatski,Croatian
ia,"",Interlingua
kj,"",Kuanyama
lo,"",Lao
lg,"",Ganda
mr,"",Marathi
sd,"",Sindhi
be,беларуская мова,Belarusian
ho,"",Hiri Motu
kg,"",Kongo
sl,Slovenščina,Slovenian
yo,Èdè Yorùbá,Yoruba
